文档,页码,章节,条款编号,条款内容,责任部门,证据材料,例外处理
财务付款与预算制度,第03页,预算外付款,FIN-04-003,预算外付款超过10万元需CFO审批；超过或等于15万元需总经理会签。,财务部,审批单/系统截图/会议纪要,升级归口部门复核
财务付款与预算制度,第03页,预算外付款,FIN-04-006,紧急预算外付款可先冻结额度后补齐审批。,财务部,审批单/系统截图/会议纪要,升级归口部门复核
财务付款与预算制度,第03页,预算外付款,,页码：第03页,财务部,执行记录,按更严格制度处理
财务付款与预算制度,第03页,预算外付款,,章节：预算外付款,财务部,执行记录,按更严格制度处理
财务付款与预算制度,第03页,预算外付款,,版本场景：第1轮业务复盘，覆盖制度解释、执行证据、边界条件和异常处理。,财务部,执行记录,按更严格制度处理
财务付款与预算制度,第03页,预算外付款,,业务背景：财务部在处理预算外付款事项时，需要同时考虑申请人、审批人、执行人和审计人的职责分离。,财务部,执行记录,按更严格制度处理
财务付款与预算制度,第03页,预算外付款,,FIN-04-003 预算外付款超过10万元需CFO审批；超过或等于15万元需总经理会签。,财务部,执行记录,按更严格制度处理
财务付款与预算制度,第03页,预算外付款,,FIN-04-006 紧急预算外付款可先冻结额度后补齐审批。,财务部,执行记录,按更严格制度处理
财务付款与预算制度,第03页,预算外付款,,责任边界：预算外付款由财务部主责，涉及跨部门事项时同步财务、法务、IT或信息安全。,财务部,执行记录,按更严格制度处理
财务付款与预算制度,第03页,预算外付款,,审批证据：第3类事项至少保留审批单、系统截图、沟通纪要和最终处理结果。,财务部,执行记录,按更严格制度处理
财务付款与预算制度,第03页,预算外付款,,例外规则：当预算外付款与其他制度适用边界不清时，先冻结流程状态，由归口部门出具书面判断。,财务部,执行记录,按更严格制度处理
财务付款与预算制度,第03页,预算外付款,,审计要求：季度抽查会比对条款编号、审批人、时间戳和业务单据，异常项进入整改台账。,财务部,执行记录,按更严格制度处理
财务付款与预算制度,第03页,预算外付款,,面试评测锚点：该章节用于测试文档命中、章节命中、条款编号召回和跨文档引用能力。,财务部,执行记录,按更严格制度处理
财务付款与预算制度,第03页,预算外付款,,财务付款与预算制度-P03-S01 申请入口：员工或业务负责人在系统中提交事项，并选择费用、权限、合同、供应商或客户影响范围。,财务部,执行记录,按更严格制度处理
财务付款与预算制度,第03页,预算外付款,,财务付款与预算制度-P03-S02 审批规则：系统根据金额、数据等级、故障等级、合同类型或员工层级自动识别审批链。,财务部,执行记录,按更严格制度处理
财务付款与预算制度,第03页,预算外付款,,财务付款与预算制度-P03-S03 执行动作：责任团队在规定时限内完成处理，并把执行截图、邮件确认和系统日志关联到单据。,财务部,执行记录,按更严格制度处理
财务付款与预算制度,第03页,预算外付款,,财务付款与预算制度-P03-S04 例外判断：遇到客户紧急故障、预算冻结、供应商风险或安全事件时，先采取临时控制，再补齐审批。,财务部,执行记录,按更严格制度处理
财务付款与预算制度,第03页,预算外付款,,财务付款与预算制度-P03-S05 审计抽查：内控团队按月抽样检查条款编号、审批时点、处理结果和证据完整性。,财务部,执行记录,按更严格制度处理
财务付款与预算制度,第03页,预算外付款,,财务付款与预算制度-P03-S06 跨文档引用：涉及付款时参考财务制度，涉及合同条款时参考合同审批制度，涉及生产系统时参考IT和研发制度。,财务部,执行记录,按更严格制度处理
财务付款与预算制度,第03页,预算外付款,,财务付款与预算制度-P03-S07 失败风险：若只命中文档标题但未召回本页条款，评测应归类为章节未命中或答案要点缺失。,财务部,执行记录,按更严格制度处理
财务付款与预算制度,第03页,预算外付款,,财务付款与预算制度-P03-S08 整改要求：发现执行偏差后，责任部门应在5个工作日内提交原因、影响范围和防复发措施。,财务部,执行记录,按更严格制度处理
财务付款与预算制度,第04页,付款材料,FIN-05-002,付款材料包括合同、验收单、发票、付款申请和收款账户证明。,财务部,审批单/系统截图/会议纪要,升级归口部门复核
财务付款与预算制度,第04页,付款材料,FIN-05-008,对公账户变更需供应商重新盖章确认。,财务部,审批单/系统截图/会议纪要,升级归口部门复核
财务付款与预算制度,第04页,付款材料,,页码：第04页,财务部,执行记录,按更严格制度处理
财务付款与预算制度,第04页,付款材料,,章节：付款材料,财务部,执行记录,按更严格制度处理
财务付款与预算制度,第04页,付款材料,,版本场景：第1轮业务复盘，覆盖制度解释、执行证据、边界条件和异常处理。,财务部,执行记录,按更严格制度处理
财务付款与预算制度,第04页,付款材料,,业务背景：财务部在处理付款材料事项时，需要同时考虑申请人、审批人、执行人和审计人的职责分离。,财务部,执行记录,按更严格制度处理
财务付款与预算制度,第04页,付款材料,,FIN-05-002 付款材料包括合同、验收单、发票、付款申请和收款账户证明。,财务部,执行记录,按更严格制度处理
财务付款与预算制度,第04页,付款材料,,FIN-05-008 对公账户变更需供应商重新盖章确认。,财务部,执行记录,按更严格制度处理
财务付款与预算制度,第04页,付款材料,,责任边界：付款材料由财务部主责，涉及跨部门事项时同步财务、法务、IT或信息安全。,财务部,执行记录,按更严格制度处理
财务付款与预算制度,第04页,付款材料,,审批证据：第4类事项至少保留审批单、系统截图、沟通纪要和最终处理结果。,财务部,执行记录,按更严格制度处理
财务付款与预算制度,第04页,付款材料,,例外规则：当付款材料与其他制度适用边界不清时，先冻结流程状态，由归口部门出具书面判断。,财务部,执行记录,按更严格制度处理
财务付款与预算制度,第04页,付款材料,,审计要求：季度抽查会比对条款编号、审批人、时间戳和业务单据，异常项进入整改台账。,财务部,执行记录,按更严格制度处理
财务付款与预算制度,第04页,付款材料,,面试评测锚点：该章节用于测试文档命中、章节命中、条款编号召回和跨文档引用能力。,财务部,执行记录,按更严格制度处理
财务付款与预算制度,第04页,付款材料,,财务付款与预算制度-P04-S01 申请入口：员工或业务负责人在系统中提交事项，并选择费用、权限、合同、供应商或客户影响范围。,财务部,执行记录,按更严格制度处理
财务付款与预算制度,第04页,付款材料,,财务付款与预算制度-P04-S02 审批规则：系统根据金额、数据等级、故障等级、合同类型或员工层级自动识别审批链。,财务部,执行记录,按更严格制度处理
财务付款与预算制度,第04页,付款材料,,财务付款与预算制度-P04-S03 执行动作：责任团队在规定时限内完成处理，并把执行截图、邮件确认和系统日志关联到单据。,财务部,执行记录,按更严格制度处理
财务付款与预算制度,第04页,付款材料,,财务付款与预算制度-P04-S04 例外判断：遇到客户紧急故障、预算冻结、供应商风险或安全事件时，先采取临时控制，再补齐审批。,财务部,执行记录,按更严格制度处理
财务付款与预算制度,第04页,付款材料,,财务付款与预算制度-P04-S05 审计抽查：内控团队按月抽样检查条款编号、审批时点、处理结果和证据完整性。,财务部,执行记录,按更严格制度处理
财务付款与预算制度,第04页,付款材料,,财务付款与预算制度-P04-S06 跨文档引用：涉及付款时参考财务制度，涉及合同条款时参考合同审批制度，涉及生产系统时参考IT和研发制度。,财务部,执行记录,按更严格制度处理
财务付款与预算制度,第04页,付款材料,,财务付款与预算制度-P04-S07 失败风险：若只命中文档标题但未召回本页条款，评测应归类为章节未命中或答案要点缺失。,财务部,执行记录,按更严格制度处理
财务付款与预算制度,第04页,付款材料,,财务付款与预算制度-P04-S08 整改要求：发现执行偏差后，责任部门应在5个工作日内提交原因、影响范围和防复发措施。,财务部,执行记录,按更严格制度处理
财务付款与预算制度,第05页,费用归档,FIN-06-003,付款完成后电子档案保留不少于10年。,财务部,审批单/系统截图/会议纪要,升级归口部门复核
财务付款与预算制度,第05页,费用归档,FIN-06-007,审计抽样发现缺失材料时应在3个工作日内补齐。,财务部,审批单/系统截图/会议纪要,升级归口部门复核
财务付款与预算制度,第05页,费用归档,,页码：第05页,财务部,执行记录,按更严格制度处理
财务付款与预算制度,第05页,费用归档,,章节：费用归档,财务部,执行记录,按更严格制度处理
财务付款与预算制度,第05页,费用归档,,版本场景：第1轮业务复盘，覆盖制度解释、执行证据、边界条件和异常处理。,财务部,执行记录,按更严格制度处理
财务付款与预算制度,第05页,费用归档,,业务背景：财务部在处理费用归档事项时，需要同时考虑申请人、审批人、执行人和审计人的职责分离。,财务部,执行记录,按更严格制度处理
财务付款与预算制度,第05页,费用归档,,FIN-06-003 付款完成后电子档案保留不少于10年。,财务部,执行记录,按更严格制度处理
财务付款与预算制度,第05页,费用归档,,FIN-06-007 审计抽样发现缺失材料时应在3个工作日内补齐。,财务部,执行记录,按更严格制度处理
财务付款与预算制度,第05页,费用归档,,责任边界：费用归档由财务部主责，涉及跨部门事项时同步财务、法务、IT或信息安全。,财务部,执行记录,按更严格制度处理
财务付款与预算制度,第05页,费用归档,,审批证据：第5类事项至少保留审批单、系统截图、沟通纪要和最终处理结果。,财务部,执行记录,按更严格制度处理
财务付款与预算制度,第05页,费用归档,,例外规则：当费用归档与其他制度适用边界不清时，先冻结流程状态，由归口部门出具书面判断。,财务部,执行记录,按更严格制度处理
财务付款与预算制度,第05页,费用归档,,审计要求：季度抽查会比对条款编号、审批人、时间戳和业务单据，异常项进入整改台账。,财务部,执行记录,按更严格制度处理
财务付款与预算制度,第05页,费用归档,,面试评测锚点：该章节用于测试文档命中、章节命中、条款编号召回和跨文档引用能力。,财务部,执行记录,按更严格制度处理
财务付款与预算制度,第05页,费用归档,,财务付款与预算制度-P05-S01 申请入口：员工或业务负责人在系统中提交事项，并选择费用、权限、合同、供应商或客户影响范围。,财务部,执行记录,按更严格制度处理
财务付款与预算制度,第05页,费用归档,,财务付款与预算制度-P05-S02 审批规则：系统根据金额、数据等级、故障等级、合同类型或员工层级自动识别审批链。,财务部,执行记录,按更严格制度处理
财务付款与预算制度,第05页,费用归档,,财务付款与预算制度-P05-S03 执行动作：责任团队在规定时限内完成处理，并把执行截图、邮件确认和系统日志关联到单据。,财务部,执行记录,按更严格制度处理
财务付款与预算制度,第05页,费用归档,,财务付款与预算制度-P05-S04 例外判断：遇到客户紧急故障、预算冻结、供应商风险或安全事件时，先采取临时控制，再补齐审批。,财务部,执行记录,按更严格制度处理
财务付款与预算制度,第05页,费用归档,,财务付款与预算制度-P05-S05 审计抽查：内控团队按月抽样检查条款编号、审批时点、处理结果和证据完整性。,财务部,执行记录,按更严格制度处理
财务付款与预算制度,第05页,费用归档,,财务付款与预算制度-P05-S06 跨文档引用：涉及付款时参考财务制度，涉及合同条款时参考合同审批制度，涉及生产系统时参考IT和研发制度。,财务部,执行记录,按更严格制度处理
财务付款与预算制度,第05页,费用归档,,财务付款与预算制度-P05-S07 失败风险：若只命中文档标题但未召回本页条款，评测应归类为章节未命中或答案要点缺失。,财务部,执行记录,按更严格制度处理
财务付款与预算制度,第05页,费用归档,,财务付款与预算制度-P05-S08 整改要求：发现执行偏差后，责任部门应在5个工作日内提交原因、影响范围和防复发措施。,财务部,执行记录,按更严格制度处理
财务付款与预算制度,第06页,预算编制,FIN-01-002,年度预算按部门、项目和费用类型三维度编制。,财务部,审批单/系统截图/会议纪要,升级归口部门复核
财务付款与预算制度,第06页,预算编制,FIN-01-006,预算调整需说明业务变化和资金来源。,财务部,审批单/系统截图/会议纪要,升级归口部门复核
财务付款与预算制度,第06页,预算编制,,页码：第06页,财务部,执行记录,按更严格制度处理
财务付款与预算制度,第06页,预算编制,,章节：预算编制,财务部,执行记录,按更严格制度处理
财务付款与预算制度,第06页,预算编制,,版本场景：第2轮业务复盘，覆盖制度解释、执行证据、边界条件和异常处理。,财务部,执行记录,按更严格制度处理
财务付款与预算制度,第06页,预算编制,,业务背景：财务部在处理预算编制事项时，需要同时考虑申请人、审批人、执行人和审计人的职责分离。,财务部,执行记录,按更严格制度处理
财务付款与预算制度,第06页,预算编制,,FIN-01-002 年度预算按部门、项目和费用类型三维度编制。,财务部,执行记录,按更严格制度处理
财务付款与预算制度,第06页,预算编制,,FIN-01-006 预算调整需说明业务变化和资金来源。,财务部,执行记录,按更严格制度处理
财务付款与预算制度,第06页,预算编制,,责任边界：预算编制由财务部主责，涉及跨部门事项时同步财务、法务、IT或信息安全。,财务部,执行记录,按更严格制度处理
财务付款与预算制度,第06页,预算编制,,审批证据：第6类事项至少保留审批单、系统截图、沟通纪要和最终处理结果。,财务部,执行记录,按更严格制度处理
财务付款与预算制度,第06页,预算编制,,例外规则：当预算编制与其他制度适用边界不清时，先冻结流程状态，由归口部门出具书面判断。,财务部,执行记录,按更严格制度处理
财务付款与预算制度,第06页,预算编制,,审计要求：季度抽查会比对条款编号、审批人、时间戳和业务单据，异常项进入整改台账。,财务部,执行记录,按更严格制度处理
财务付款与预算制度,第06页,预算编制,,面试评测锚点：该章节用于测试文档命中、章节命中、条款编号召回和跨文档引用能力。,财务部,执行记录,按更严格制度处理
财务付款与预算制度,第06页,预算编制,,财务付款与预算制度-P06-S01 申请入口：员工或业务负责人在系统中提交事项，并选择费用、权限、合同、供应商或客户影响范围。,财务部,执行记录,按更严格制度处理
财务付款与预算制度,第06页,预算编制,,财务付款与预算制度-P06-S02 审批规则：系统根据金额、数据等级、故障等级、合同类型或员工层级自动识别审批链。,财务部,执行记录,按更严格制度处理
财务付款与预算制度,第06页,预算编制,,财务付款与预算制度-P06-S03 执行动作：责任团队在规定时限内完成处理，并把执行截图、邮件确认和系统日志关联到单据。,财务部,执行记录,按更严格制度处理
财务付款与预算制度,第06页,预算编制,,财务付款与预算制度-P06-S04 例外判断：遇到客户紧急故障、预算冻结、供应商风险或安全事件时，先采取临时控制，再补齐审批。,财务部,执行记录,按更严格制度处理
财务付款与预算制度,第06页,预算编制,,财务付款与预算制度-P06-S05 审计抽查：内控团队按月抽样检查条款编号、审批时点、处理结果和证据完整性。,财务部,执行记录,按更严格制度处理
财务付款与预算制度,第06页,预算编制,,财务付款与预算制度-P06-S06 跨文档引用：涉及付款时参考财务制度，涉及合同条款时参考合同审批制度，涉及生产系统时参考IT和研发制度。,财务部,执行记录,按更严格制度处理
财务付款与预算制度,第06页,预算编制,,财务付款与预算制度-P06-S07 失败风险：若只命中文档标题但未召回本页条款，评测应归类为章节未命中或答案要点缺失。,财务部,执行记录,按更严格制度处理
财务付款与预算制度,第06页,预算编制,,财务付款与预算制度-P06-S08 整改要求：发现执行偏差后，责任部门应在5个工作日内提交原因、影响范围和防复发措施。,财务部,执行记录,按更严格制度处理
财务付款与预算制度,第07页,预算执行,FIN-03-001,预算内付款需校验合同、验收和发票一致性。,财务部,审批单/系统截图/会议纪要,升级归口部门复核
财务付款与预算制度,第07页,预算执行,FIN-03-006,预算余额不足时系统不允许直接提交付款。,财务部,审批单/系统截图/会议纪要,升级归口部门复核
财务付款与预算制度,第07页,预算执行,,页码：第07页,财务部,执行记录,按更严格制度处理
财务付款与预算制度,第07页,预算执行,,章节：预算执行,财务部,执行记录,按更严格制度处理
财务付款与预算制度,第07页,预算执行,,版本场景：第2轮业务复盘，覆盖制度解释、执行证据、边界条件和异常处理。,财务部,执行记录,按更严格制度处理
财务付款与预算制度,第07页,预算执行,,业务背景：财务部在处理预算执行事项时，需要同时考虑申请人、审批人、执行人和审计人的职责分离。,财务部,执行记录,按更严格制度处理
财务付款与预算制度,第07页,预算执行,,FIN-03-001 预算内付款需校验合同、验收和发票一致性。,财务部,执行记录,按更严格制度处理
财务付款与预算制度,第07页,预算执行,,FIN-03-006 预算余额不足时系统不允许直接提交付款。,财务部,执行记录,按更严格制度处理
财务付款与预算制度,第07页,预算执行,,责任边界：预算执行由财务部主责，涉及跨部门事项时同步财务、法务、IT或信息安全。,财务部,执行记录,按更严格制度处理
财务付款与预算制度,第07页,预算执行,,审批证据：第7类事项至少保留审批单、系统截图、沟通纪要和最终处理结果。,财务部,执行记录,按更严格制度处理
财务付款与预算制度,第07页,预算执行,,例外规则：当预算执行与其他制度适用边界不清时，先冻结流程状态，由归口部门出具书面判断。,财务部,执行记录,按更严格制度处理
财务付款与预算制度,第07页,预算执行,,审计要求：季度抽查会比对条款编号、审批人、时间戳和业务单据，异常项进入整改台账。,财务部,执行记录,按更严格制度处理
财务付款与预算制度,第07页,预算执行,,面试评测锚点：该章节用于测试文档命中、章节命中、条款编号召回和跨文档引用能力。,财务部,执行记录,按更严格制度处理
财务付款与预算制度,第07页,预算执行,,财务付款与预算制度-P07-S01 申请入口：员工或业务负责人在系统中提交事项，并选择费用、权限、合同、供应商或客户影响范围。,财务部,执行记录,按更严格制度处理
财务付款与预算制度,第07页,预算执行,,财务付款与预算制度-P07-S02 审批规则：系统根据金额、数据等级、故障等级、合同类型或员工层级自动识别审批链。,财务部,执行记录,按更严格制度处理
财务付款与预算制度,第07页,预算执行,,财务付款与预算制度-P07-S03 执行动作：责任团队在规定时限内完成处理，并把执行截图、邮件确认和系统日志关联到单据。,财务部,执行记录,按更严格制度处理
财务付款与预算制度,第07页,预算执行,,财务付款与预算制度-P07-S04 例外判断：遇到客户紧急故障、预算冻结、供应商风险或安全事件时，先采取临时控制，再补齐审批。,财务部,执行记录,按更严格制度处理
财务付款与预算制度,第07页,预算执行,,财务付款与预算制度-P07-S05 审计抽查：内控团队按月抽样检查条款编号、审批时点、处理结果和证据完整性。,财务部,执行记录,按更严格制度处理
财务付款与预算制度,第07页,预算执行,,财务付款与预算制度-P07-S06 跨文档引用：涉及付款时参考财务制度，涉及合同条款时参考合同审批制度，涉及生产系统时参考IT和研发制度。,财务部,执行记录,按更严格制度处理
财务付款与预算制度,第07页,预算执行,,财务付款与预算制度-P07-S07 失败风险：若只命中文档标题但未召回本页条款，评测应归类为章节未命中或答案要点缺失。,财务部,执行记录,按更严格制度处理
财务付款与预算制度,第07页,预算执行,,财务付款与预算制度-P07-S08 整改要求：发现执行偏差后，责任部门应在5个工作日内提交原因、影响范围和防复发措施。,财务部,执行记录,按更严格制度处理
财务付款与预算制度,第08页,预算外付款,FIN-04-003,预算外付款超过10万元需CFO审批；超过或等于15万元需总经理会签。,财务部,审批单/系统截图/会议纪要,升级归口部门复核
财务付款与预算制度,第08页,预算外付款,FIN-04-006,紧急预算外付款可先冻结额度后补齐审批。,财务部,审批单/系统截图/会议纪要,升级归口部门复核
财务付款与预算制度,第08页,预算外付款,,页码：第08页,财务部,执行记录,按更严格制度处理
财务付款与预算制度,第08页,预算外付款,,章节：预算外付款,财务部,执行记录,按更严格制度处理
财务付款与预算制度,第08页,预算外付款,,版本场景：第2轮业务复盘，覆盖制度解释、执行证据、边界条件和异常处理。,财务部,执行记录,按更严格制度处理
财务付款与预算制度,第08页,预算外付款,,业务背景：财务部在处理预算外付款事项时，需要同时考虑申请人、审批人、执行人和审计人的职责分离。,财务部,执行记录,按更严格制度处理
财务付款与预算制度,第08页,预算外付款,,FIN-04-003 预算外付款超过10万元需CFO审批；超过或等于15万元需总经理会签。,财务部,执行记录,按更严格制度处理
财务付款与预算制度,第08页,预算外付款,,FIN-04-006 紧急预算外付款可先冻结额度后补齐审批。,财务部,执行记录,按更严格制度处理
财务付款与预算制度,第08页,预算外付款,,责任边界：预算外付款由财务部主责，涉及跨部门事项时同步财务、法务、IT或信息安全。,财务部,执行记录,按更严格制度处理
财务付款与预算制度,第08页,预算外付款,,审批证据：第8类事项至少保留审批单、系统截图、沟通纪要和最终处理结果。,财务部,执行记录,按更严格制度处理
财务付款与预算制度,第08页,预算外付款,,例外规则：当预算外付款与其他制度适用边界不清时，先冻结流程状态，由归口部门出具书面判断。,财务部,执行记录,按更严格制度处理
财务付款与预算制度,第08页,预算外付款,,审计要求：季度抽查会比对条款编号、审批人、时间戳和业务单据，异常项进入整改台账。,财务部,执行记录,按更严格制度处理
财务付款与预算制度,第08页,预算外付款,,面试评测锚点：该章节用于测试文档命中、章节命中、条款编号召回和跨文档引用能力。,财务部,执行记录,按更严格制度处理
财务付款与预算制度,第08页,预算外付款,,财务付款与预算制度-P08-S01 申请入口：员工或业务负责人在系统中提交事项，并选择费用、权限、合同、供应商或客户影响范围。,财务部,执行记录,按更严格制度处理
财务付款与预算制度,第08页,预算外付款,,财务付款与预算制度-P08-S02 审批规则：系统根据金额、数据等级、故障等级、合同类型或员工层级自动识别审批链。,财务部,执行记录,按更严格制度处理
财务付款与预算制度,第08页,预算外付款,,财务付款与预算制度-P08-S03 执行动作：责任团队在规定时限内完成处理，并把执行截图、邮件确认和系统日志关联到单据。,财务部,执行记录,按更严格制度处理
财务付款与预算制度,第08页,预算外付款,,财务付款与预算制度-P08-S04 例外判断：遇到客户紧急故障、预算冻结、供应商风险或安全事件时，先采取临时控制，再补齐审批。,财务部,执行记录,按更严格制度处理
财务付款与预算制度,第08页,预算外付款,,财务付款与预算制度-P08-S05 审计抽查：内控团队按月抽样检查条款编号、审批时点、处理结果和证据完整性。,财务部,执行记录,按更严格制度处理
财务付款与预算制度,第08页,预算外付款,,财务付款与预算制度-P08-S06 跨文档引用：涉及付款时参考财务制度，涉及合同条款时参考合同审批制度，涉及生产系统时参考IT和研发制度。,财务部,执行记录,按更严格制度处理
财务付款与预算制度,第08页,预算外付款,,财务付款与预算制度-P08-S07 失败风险：若只命中文档标题但未召回本页条款，评测应归类为章节未命中或答案要点缺失。,财务部,执行记录,按更严格制度处理
